dog_id,od_max_education
10509,5
74227,10
32487,10
63150,11
33369,8
72814,10
72448,7
98151,8
76173,8
41276,10
82000,8
7580,8
37013,5
59622,9
81907,10
86809,5
85097,10
4851,8
40687,9
94185,5
97071,5
58481,9
90138,5
60866,11
89528,11
86996,8
81878,10
73822,9
4991,8
98084,9
13220,8
3032,8
81638,8
30845,8
40444,3
50472,10
7426,8
44458,9
6380,8
35215,8
55951,11
10736,8
47203,11
26197,8
3854,8
2650,8
47405,9
83131,2
95463,9
85746,9
1485,9
58788,7
45726,5
78733,10
93573,8
101896,9
71108,11
84142,4
3529,10
44789,11
51200,9
68354,7
83240,9
79793,7
70330,8
14311,10
68318,3
88409,5
72028,9
100120,3
5286,9
72889,9
4275,9
101864,10
84091,6
32210,8
96127,8
43176,9
59144,9
66307,8
78602,11
73375,9
50916,9
78065,8
87273,9
34475,6
85745,9
42476,11
63794,5
65420,6
92020,8
94987,11
55871,7
29345,9
90006,8
51348,5
94976,8
51049,8
91012,8
8875,11
97803,8
48626,8
63300,8
10607,8
29044,9
7154,8
89925,10
50115,5
60759,5
56903,8
6441,9
79834,10
77978,8
5240,8
19636,5
45805,8
25333,8
53790,9
28324,8
17268,9
58977,8
15557,7
102685,8
72205,8
60642,9
69116,11
4114,10
97654,5
64678,8
33038,9
72234,10
45597,9
69397,7
98656,8
90391,9
3476,11
20897,7
42137,9
80393,8
91490,9
31125,8
95384,8
60016,3
54244,8
55230,10
42675,9
83352,11
77404,8
42691,8
62801,8
61524,7
64635,8
95151,7
28064,9
66178,9
88379,9
4503,8
40879,8
87947,8
87690,9
92999,9
79804,11
50377,5
76065,9
74929,10
102714,8
16154,9
57419,9
15104,11
233,9
26157,7
92296,9
12864,8
94578,8
102086,7
3105,11
8162,10
1852,11
29644,8
83175,8
6880,8
53040,8
40933,9
85173,9
82464,10
87441,9
7023,8
81717,8
83340,10
21602,8
16001,8
11166,8
71254,8
79687,9
66,11
30753,11
50326,5
68940,9
76061,8
79383,7
2287,8
92577,10
85835,8
35796,8
14449,9
62250,10
22504,9
13873,8
97737,9
69292,8
41882,5
25921,8
60399,7
81851,9
22556,11
63330,5
87835,8
91022,8
38188,6
32899,8
95758,10
24386,7
65585,9
37601,9
1531,8
97119,8
70850,8
70615,9
18319,9
32081,6
63041,5
35690,8
100332,9
70566,9
83685,11
66289,9
94125,9
29926,8
95442,11
84317,9
83508,9
97331,9
37560,9
53322,9
10880,9
43099,9
11183,9
44979,8
79281,9
34068,11
11753,10
94428,11
79976,10
54801,8
88699,9
22116,8
36702,8
27099,8
54740,8
52593,7
54403,8
23467,10
18270,9
89716,5
1540,9
11481,11
80155,8
92893,8
41347,8
17431,8
82948,8
81817,11
94806,11
5137,9
40629,8
87598,8
14769,9
9075,9
87509,8
15440,8
43971,9
100321,8
62046,11
93243,8
15649,8
93934,10
1195,8
82711,7
7781,9
40593,8
52897,10
33623,9
68759,8
20089,8
94259,9
4828,8
6377,10
38283,5
12,8
94354,5
58548,10
53629,9
84665,9
57461,5
58418,11
45256,8
15094,11
16021,9
71351,11
58016,8
18080,9
66419,8
94080,3
67965,9
30061,9
13208,8
48502,8
30018,6
80531,8
65945,8
87033,9
3204,9
26451,9
36961,8
86771,9
102007,10
48204,10
15604,8
95647,8
938,8
28893,5
91456,9
31862,5
10700,9
81963,8
96001,8
71380,8
4290,8
77764,11
9941,5
14232,10
15533,3
39309,9
77525,9
52471,8
91233,8
90580,9
78226,8
67388,10
73869,8
12726,9
73067,10
37385,11
52445,8
96392,5
54124,9
64834,5
47898,11
88961,3
22629,5
94093,9
93667,8
30906,8
57394,9
63899,8
97112,8
11247,9
1654,9
77117,10
25269,9
42724,5
102584,9
15252,7
19306,8
55691,8
63049,6
99876,5
45006,8
28473,9
3058,11
102257,6
35333,10
46004,5
88130,8
19429,9
55022,8
87785,10
83034,7
60656,10
28297,5
42588,9
71971,7
65399,10
48945,10
313,11
53001,5
36686,7
77429,8
61384,2
29673,9
55283,9
25960,8
64697,8
51650,9
68425,8
40392,8
87448,9
82892,9
57876,8
83383,11
84324,10
66799,8
68927,5
102248,8
66851,5
30141,9
84312,9
23717,4
75850,8
22800,9
76661,7
51136,8
89863,9
6579,9
82549,7
12055,11
83460,8
92678,10
28565,9
83468,8
70153,5
51873,9
80637,8
56912,9
22934,8
11244,9
72244,10
36541,8
89165,8
202,5
89777,8
50979,8
50136,5
91526,5
98737,6
7258,5
78684,8
69452,3
48274,8
51183,10
8479,11
77766,7
17455,3
7906,7
81560,9
44261,11
86754,3
68450,9
91191,8
86917,8
63657,5
83200,6
56263,8
35233,10
40469,9
33611,5
88865,5
28326,8
84837,10
45586,8
63524,11
1674,8
33339,9
78422,9
88063,3
75957,10
1230,9
94086,10
70406,9
98977,9
50744,8
44768,10
24906,8
18599,8
37702,9
46838,8
48882,7
47561,9
68563,8
16060,9
92476,10
78270,9
59745,9
23094,9
18062,8
59310,7
80874,8
14465,9
96168,7
85536,8
51041,9
96451,8
50365,5
73526,8
18979,6
14183,8
27401,7
8965,7
52867,10
85376,9
55080,8
49785,5
438,9
61252,8
10608,8
829,5
84139,9
82574,8
76867,9
67387,8
2346,9
13049,9
56513,8
49326,8
41330,9
90779,9
61323,9
50323,8
59343,8
85350,7
49864,9
36052,5
61010,9
78299,11
97524,7
95390,9
88011,8
